Current Intensity,Argon Gas Flow Rate,Hydrogen Flow Rate,Argon Carrier Gas Flow Rate,Injector Stand-off Distance,Injector Distance,Average Particle Velocity,Average Particle Temperature,Average Particle Diameter
350,40,14,3.2,6,1.8,242,2262,43
530,40,14,3.2,6,1.8,270,2399,51
750,40,14,3.2,6,1.8,278,2428,50
530,40,0,3.2,6,1.8,205,1675,30
530,40,4,3.2,6,1.8,241,2170,38
530,40,8,3.2,6,1.8,260,2351,45
530,40,10,3.2,6,1.8,264,2373,47
530,45,15,3.2,6,1.8,176,2403,51
530,22.5,7.5,3.2,6,1.8,179,2456,49
530,37.5,12.5,3.2,6,1.8,263,2393,50
530,40,14,2.2,6,1.8,252,2352,48
530,40,14,4.4,6,1.8,277,2440,54
530,40,14,3.2,6,1.8,270,2434,47
530,40,14,3.2,8,1.8,278,2451,52
530,40,14,3.2,6,1.5,265,2498,54
530,40,14,3.2,6,2,278,2363,43
